sample,alpha,kappa,beta_0,beta_1
173,-0.3799180806374454,3.662650453862123,0.36175463303348854,0.8157924066660276
174,-0.529862553641678,3.6612105194991122,0.4090956542645041,0.7824375656831442
175,2.936958854415186,5.559384876943959,0.42673234254314163,0.4994294253063683
176,2.555138207201997,5.034072562199153,0.5097960478486439,0.7236456496065081
177,2.46570227206452,5.109223590269829,0.5056512528628684,0.7275422062511577
178,-0.8521473577231642,1.6692292452282729,-0.12324451379247331,-0.02590661101849366
179,0.9156007717163476,1.7375576391746892,0.2052815699470541,0.27273679272491835
180,-1.33069811482886,5.573375554995048,0.17706348400133415,0.547024192317566
181,-0.283050989552364,4.276639495174693,0.32118804404630513,0.6529214228995764
182,0.41523043762248607,2.462274811257305,0.2156564718266969,0.37205364113803635
183,0.6328219581918475,3.377152668101607,0.23571840614600387,0.3966349915662818
184,-0.829765843847867,3.687990644546942,0.023046605786079467,0.17501408296454782
185,1.0839000414278244,2.650201623608172,0.3242721280290117,0.49272861313756405
186,1.2128772934142842,1.847079766096837,0.3770961151792807,0.549847054514534
187,-0.8573706117337735,1.740728259396983,0.0825789177434181,0.28714078166235074
188,-1.1032130339540502,1.73805566457935,0.10903655402962029,0.25647283617797445
189,-1.4480221868200966,1.8306073375041416,0.11849781900126255,0.24896695289448229
190,-1.4243220137391854,1.8968663230257847,0.09346669036847753,0.27189130196685707
191,-0.7906195712092533,1.3262420259413723,0.11424330531617527,0.4922907003072121
192,-0.6678373790630295,2.0937949104606997,0.2166964492566873,0.6593432091299297
193,-0.8457320666031234,1.9823183956226598,0.19175120288093941,0.6791957837111813
194,0.3934467910492504,2.062921214747733,0.20427963370213215,0.30021610222921113
195,0.7385757524368469,2.067515239749472,0.09676752485205928,0.08706972841966379
196,-1.030478659594828,3.233044017696979,0.4260210944414068,0.8961365971448055
197,-0.45346945244914244,7.8381682421863905,0.1809353203031918,0.3950922878004356
198,0.42672401260941684,4.711809907602869,0.23691924333639594,0.41280021479943074
199,0.769612095023147,5.002938542043766,0.22500861878336914,0.3754077429693078
200,-1.4327238714132697,1.3328808992038692,0.17470723467424012,0.4913440907907762
201,2.7294832572017342,8.120895093990727,0.38955501840590107,0.4421220747293327
202,2.1359421671978462,5.921284088648925,0.39296599942746746,0.5296849645121952
203,-1.5483507971431179,2.08270010276101,0.22500716195032483,0.6946854586047805
204,-0.929559372133743,3.2994951510175223,0.2826136005393048,0.7935366109416323
205,-1.6236463323855772,4.0628580210443515,0.32689722062943505,0.7797232751156322
206,-1.0628614185359562,3.5696810477361542,0.30994092675177687,0.7664655357019668
207,2.190021227974244,3.8455580345473126,0.3091300001609705,0.3681629417541288
208,1.2807677873149352,3.1796412095017965,0.33370777903826343,0.5427482728696582
209,1.1004121456763716,3.2167210689399908,0.35556030059408633,0.49291106209803115
210,2.4355195995209944,2.7731159495799584,0.3952446318343694,0.41641591471315265
211,2.089679105336371,2.573108906143115,0.39910212207879936,0.4399013880199991
212,-0.1977254177071219,2.850074410513221,-0.12750643725257318,-0.09239873745070247
213,-3.5523357414230774,3.5785450872258306,-0.16816576443435208,0.15477396238720678
214,-0.0847211128907678,4.763301416204119,0.006949824911053739,0.06061622528274949
215,-0.09317324326965899,4.91187509558884,0.000775962293306784,0.037539117953186776
216,0.986157588681748,2.195667051220063,0.1949603277463341,0.2298596096870644
217,-1.0566148914967797,2.898039407674421,0.14368571002355568,0.45484168349161563
218,3.4880259990131366,3.408206751055526,0.28444653641249956,0.19440646393200522
219,-2.163287477111767,2.6001016905087515,-0.013444320277766656,0.2832057322899158
220,1.0849054261247804,2.7804529610728235,0.2154795391326945,0.24572291496333085
221,0.6613743549189739,3.0760679663777775,0.23403517730770532,0.3028971284559908
222,0.39629341558694836,3.318935844780406,0.1322301994062923,0.21234803723969037
223,0.4511294535757267,3.380887270964011,0.137802714530579,0.1796324289754346
224,-1.9778394783422681,1.0826985779234335,-0.36252298882972156,-0.3949490997781836
225,-1.4834487545054154,1.3156308090117208,-0.17351792305560326,-0.0858408096281308
226,-0.46222453690144044,2.626066007708033,0.08909171894300796,0.27122582811727247
227,0.07713413260840249,2.6336263277884635,0.06887391058906944,0.15944465838237315
228,-0.06972546511275424,2.784224381705583,0.11712236266974632,0.2505509796906796
229,-1.8600583491267668,5.575304392230451,-0.06598640746777937,0.15672341035845194
230,1.6882891243079075,1.5066887817692878,0.46264688877564875,0.7075643559951792
231,2.157485365485543,4.669985283947943,0.17038291141260384,0.11424298168227702
232,2.9075316260599,6.376192793300879,0.3174524371364824,0.2510134967548132
233,-1.76896996327132,1.8798627495030984,0.07248375256088509,0.42053345310687656
234,-1.2614207528013277,1.960293666339225,0.1063971026941934,0.38422289555367817
235,-0.5400620913177667,1.3782403902050366,-0.030676189569260135,0.09219053051898063
236,0.10391222255123249,1.1641304117596796,0.13026356512827575,0.27917523775720776
237,-0.7156731650261648,1.6049895357496111,0.17869266719293878,0.4004734455699772
238,0.7826559801319396,2.0148816560181153,0.08711988565001884,0.1766991117732766
239,1.130886665853456,5.562734035184711,0.3638566554972874,0.6165386724139513
240,1.181031041564561,3.089962293659434,0.6913504487359339,1.1668865155351464
241,-0.19437239670643647,3.681048456501135,-0.06886986837397023,-0.012542240264708281
242,-0.41492342522738807,1.8662024668767898,0.3053492696180242,0.5751516818502648
