sample,alpha,kappa,beta_0,beta_1,beta_2
129,2.216163119390746,3.763074364939995,1.0656089085238183,0.1792302526684794,0.1674796595218321
130,-1.6562007371251481,3.7837712807605475,0.4109229610201648,0.07222932075896753,0.3518387014654741
131,2.5279293262421634,5.095905567512132,0.9032714952907641,0.24001837543973076,0.24117981266972535
132,-1.985621023473934,3.184239807200076,0.9249436856589248,0.1896473096075912,0.6580135873846752
133,-2.4976211007825517,6.697932661339645,0.9855085826766685,0.6762035795012552,1.6173061528034376
134,-2.7035500614375634,3.918893594272401,1.1324592091687027,0.5990767577144404,1.4642284181662588
135,-0.8865982910955819,4.631188526114666,1.289679482459024,0.3831287037702965,0.916537320250464
136,0.9142758930301459,9.761685838754735,2.0550124092369093,0.2658050680362604,0.47678020055957215
137,0.8036177740924503,11.949673293643661,2.0418352755559566,0.21601507151119181,0.39444990080001446
138,1.0836574846070341,7.587697634968152,0.733566339315812,0.3284336772561102,0.5214086813237448
139,-0.4160704176457557,2.6968457031021456,0.6730528612046199,0.31396444408041946,0.6817439027419822
140,0.6870934459499508,3.644336261536514,-0.028102242025763568,0.6265051368327673,1.1086879511017926
141,1.2576014890685379,6.409151598246557,0.5041483966983891,0.36063768990664336,0.5668009062818897
142,2.6398681242740727,8.00382971113999,0.43667165840714645,0.5980917719738489,0.8975048992109494
143,-0.08796599361434328,0.6234747201261834,-0.3673120981940657,0.33366641990178303,0.4923429644062
144,2.5658703212365443,0.3168741128663064,-0.13315756800812711,0.5512081861272944,0.5222582933397366
145,1.98751210025731,0.8113813507597686,-1.216681791621032,0.7045009777523178,0.9138131578384859
146,-2.198278317946438,1.875687322396572,0.7742223304474047,-0.09598473173521961,0.059163708554390966
147,1.9505654816451385,4.550663584821668,1.719032474524705,0.5792272305782805,0.8921769935137365
148,1.509102911233052,7.066150713689329,1.2309622886863802,0.30647282194811404,0.4336341023112752
149,-4.224455270318074,5.289899077285638,1.8239691723401459,-0.053287473324953025,0.4579308364017077
150,-3.2450782633903237,4.214384032703042,2.59347005127363,0.059725405102987426,0.5513958293398898
151,-3.1434023770494295,3.8199504937392885,2.9652639837095354,0.022513306700493892,0.5378140222881113
152,1.5597664291660154,5.35226142325266,0.615382135850716,0.30462503932203855,0.5244975137629357
153,-1.6361924529622969,3.272357136561133,0.9273364104880508,0.11837142807997805,0.4795111028860574
154,-2.0455724623892384,3.15765534698013,1.0598999896411085,0.150413873469882,0.5433202354725254
155,-0.8745907249081089,2.712202359760565,1.1848481996693603,0.16572343461800232,0.36015787410459454
156,-0.42360612210163434,3.8313450137171974,0.580449973994397,0.0960555782975513,0.3718356011218259
157,-1.847829206463338,7.410879212060938,1.152121711070757,0.2341623792521399,0.7887851248483212
158,-2.004075650230737,3.0362854148608025,1.5396868120055642,0.14123786497933044,0.4619802169701449
159,0.012000251449399646,4.181423135353533,1.53909934630518,0.11926085570326213,0.37677937383624
160,1.9759832484333801,3.853785796110276,1.6964052500812954,0.17365811649209295,0.19991715331949703
161,0.337834410703698,3.0756036724480804,0.7260290153068912,0.3858332548778633,0.6596688141402067
162,-0.7509935870635944,8.636102300812459,1.4740621104379064,0.19625355529657298,0.5171308913989601
163,-0.761893150219158,4.5381724137399075,0.8275107205616957,0.2527489409995419,0.6037229299205572
164,-0.39712012697158644,4.304123181611703,0.9472709128193375,0.24435737175956654,0.5537262921096553
165,-2.0800774270083364,2.2812726807267443,1.0329700141175289,0.27670819138319763,0.7914467381060581
166,-2.5510910383952115,4.977549302741888,0.5857824663984695,0.25991020729620384,0.8285830161409736
167,0.7927840203242906,4.321718604892809,0.579819769804048,0.17447485448719194,0.22728451808529482
168,0.7138748428822479,2.8005954285017203,1.7240323510746542,0.23528828664550902,0.412493192907028
169,1.191568545258726,2.8303436507492674,0.2509955283745614,0.026785136470436427,-0.00960258662102195
170,-0.5529648858355966,8.394531123426784,1.4361651613397954,0.4075541073309046,0.8729364120021045
171,-1.046797751776347,12.499029247879134,1.5708063281871794,0.35954351041685023,0.9047559545528576
172,-1.1967704305145326,10.926902161852448,1.5505299027814199,0.3941655270074865,0.8569510165820804
173,-0.15929497378012478,2.0606283625567974,1.2987737606029084,0.017994681664208173,0.11525319802370221
174,-0.2729999830162572,2.3052084480902293,1.297483248998641,0.1576005808846485,0.36671270497534475
175,0.22917571644132562,2.378262590072916,1.4975835455666378,0.15019000728570003,0.3574092321673922
176,-2.396794418037934,4.862789389799028,0.5998238667154817,0.21815335109113682,0.6732349847341382
177,-0.7906748305424101,5.53872896188065,0.3623557093276098,0.35194003783504835,0.8749620164137406
178,2.9276501108039534,2.337872725059693,0.4944083641131636,0.358041585842583,0.30729656665092375
179,-2.6904824697618928,7.323945438845652,1.7330310164420906,0.060006796301490556,0.5348482997776651
180,0.5559735485815888,3.244828577702371,-0.21957780690202586,0.4570529965165418,0.8520474234864245
181,2.7220004273326817,4.56778532123047,0.14040243262906868,0.6051441986803484,0.8438247146977111
