underdrain_col,u_mps,dp_pa,medium,mean_diameter_m,equiv_diameter_m,porosity,sphericity_recorded
Pumice stone 5,3.7e-05,0.0405660193150408,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.8e-05,0.0022135256203830167,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.8e-05,0.23441748460487558,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.8e-05,0.020349579602294627,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.8e-05,0.01791529890907128,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.8e-05,0.04167218465912014,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3.9e-05,0.002272647998831267,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3.9e-05,0.2406085670358635,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3.9e-05,0.02089078209508232,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3.9e-05,0.018389865248846924,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,3.9e-05,0.04277886507918225,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4e-05,0.002331815080060422,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4e-05,0.2468007879928605,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4e-05,0.02143227624120826,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4e-05,0.018864591132485467,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4e-05,0.04388606057522717,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4.1e-05,0.0023910268640704824,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.1e-05,0.25299414747586646,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.1e-05,0.021974062040672437,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.1e-05,0.019339476559986895,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4.1e-05,0.04499377114725485,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4.2e-05,0.0024502833508614472,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.2e-05,0.25918864548488135,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.2e-05,0.02251613949347486,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.2e-05,0.019814521531351215,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4.2e-05,0.046101996795265325,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4.3e-05,0.002509584540433317,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.3e-05,0.2653842820199053,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.3e-05,0.023058508599615526,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.3e-05,0.020289726046578433,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4.3e-05,0.04721073751925857,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,4.4e-05,0.0025689304327860918,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,4.4e-05,0.2715810570809382,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,4.4e-05,0.02360116935909443,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,4.4e-05,0.020765090105668536,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,4.4e-05,0.048319993319234596,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
